Stop ID,Link ID,X,Y
3096930164,11648269#1,733351.8200000001,5698244.87
3096930167,36816607#0,733364.56,5698426.38
299330007,10639970#0,732218.94,5698920.76
3096930169,305110520#0,733302.6000000001,5698404.37
342286814,30824907#0,732345.53,5698595.33
3444639055,-337371771,732450.52,5699562.9799999995
385297660,33701329#0,734331.42,5699217.54
265779456,-24658131,737592.71,5700397.97
1516723289,138336810#1,736358.54,5699921.819999999
994416717,-11104860#0,735916.8600000001,5700130.26
4585601495,1036237826#1,734467.16,5698499.859999999
313053370,28496303#1,734732.65,5698350.8
319063830,-29011892,734868.64,5699665.2299999995
4585601496,-37790127,734610.04,5698549.17
3131307067,11648269#10,734383.18,5698613.779999999
1704363749,-158203752,736461.67,5699672.74
298856723,-1029079768,731302.8400000001,5697357.699999999
319069013,11648269#4,733767.77,5698393.37
319067076,29012101#0,733835.05,5698635.97
270698510,24912511#3,735174.38,5698739.08
270698631,188961878#4,735367.45,5698515.3
2629739432,4899987,734846.22,5699125.149999999
261705989,-24161217#0,732479.72,5696934.33
4806146376,-488296140#0,732411.19,5698418.27
cluster_317672617_332473551,-64940654#0,731461.15,5698023.99
1516723055,-138336696,732576.3600000001,5700011.01
30216563,-6188091#0,734772.4,5698940.96
30216566,4744884#0,734499.6000000001,5699536.609999999
cluster_320165824_5803901819,161196134#1,733505.03,5700062.1899999995
30216565,-125111071#0,734436.77,5699385.06
319068035,11648269#5,733851.79,5698423.6899999995
298853684,-27230632,732439.02,5698744.609999999
298856716,27230847#1,731460.06,5697269.92
261705990,24161217#0,732574.12,5696955.569999999
cluster_270698194_79830673,-24912511#1,734951.3500000001,5698633.49
342286915,81921107#0,732316.5800000001,5698497.88
3444639075,27697508#1,732395.91,5699871.21
342283400,30824909,732357.42,5698674.819999999
2674634843,24913029#0,734492.5700000001,5698175.85
9546963698,-1036237821,734047.87,5700386.71
342279389,-26861063#0,731894.75,5698634.35
2750656567,269949566#1,733596.73,5699126.05
392316869,28154970#1,730910.51,5697705.029999999
392316747,28941546#1,730841.95,5697633.8
270698850,24912511#5,735328.73,5698811.21
309247859,25959561,730949.51,5697779.529999999
31934405,16239833#2,734677.25,5699476.59
270698851,188961878#5,735456.99,5698523.6899999995
309247977,24232852#0,730802.28,5697881.42
cluster_1274290666_1294780490,111992272,735751.19,5699718.24
262380850,-25959306,730920.74,5697962.4399999995
3377550098,-173182931,737795.26,5700972.279999999
cluster_283699241_3093019160,26003614#2,734592.96,5700167.7299999995
303788038,27660149#0,734693.98,5698967.67
