Stop ID,Link ID,X,Y
287625609,26261848#3,740656.8,5690682.83
2186966401,-208402190#0,739462.3300000001,5687636.359999999
1834068472,172507387#0,739180.3300000001,5689331.96
4560839972,-672176864#0,739664.8400000001,5689062.699999999
6414898758,361600891,739745.18,5689162.85
6414898759,377539658,739622.1100000001,5689101.54
cluster_21715370_4150749195,-294623782#0,738935.75,5688202.41
4562542903,252905710,739826.6000000001,5689306.74
6414898760,-377539657,739683.48,5689132.66
4562542902,177914659#3,739839.77,5689315.109999999
80102725,26588307#0,740546.66,5688412.12
287624995,26261808#0,740656.2,5690587.91
366042473,-672169547#0,739548.22,5689005.08
cluster_286738142_287606135,259718596#3,740738.5800000001,5689883.24
287607179,25903090#1,740735.73,5690377.26
242623401,386450313#0,739676.91,5688222.06
6296773441,672420305,738836.17,5689310.87
289404767,-26414667#0,740034.3600000001,5690629.27
2712536199,18950768#1,738818.93,5687937.16
289404522,26414614#1,740457.4,5690417.699999999
2656921373,22617167,738996.1000000001,5688992.859999999
287635768,177914618,741734.47,5690732.4799999995
4813280482,489041713#1,738646.74,5689604.31
4813280484,489041713#0,738645.5700000001,5689572.87
242615918,22617161,739837.06,5686971.97
6175326961,-59295367#0,740052.25,5687932.66
6175326960,-659565530,740070.88,5687913.4799999995
196131677,-18950041,738494.31,5688130.1899999995
6175326964,376817802,740145.8,5687838.01
3360189275,672420302,738846.94,5689218.49
623246334,-157003693,739602.8500000001,5689664.01
2712536187,18950813#1,738659.02,5687952.56
287634345,-26414484#0,741735.9,5690768.18
287634344,26262373#1,741723.4,5690591.54
938291548,122955081,738703.55,5689278.37
242612779,1013399806#0,740284.69,5687002.58
2712536179,18950703#1,738737.18,5687945.029999999
365116397,-32474114,739830.88,5689145.7299999995
366041043,26429011#0,739224.44,5688891.27
1834068480,-32703502#1,739286.3400000001,5689333.13
365119656,32474287,739667.87,5688923.37
287615952,155770508#1,740877.81,5690103.17
938291554,-122955081,738711.64,5689283.529999999
242612781,1013399806#2,740192.45,5687327.029999999
307133560,27957239#0,740547.27,5687914.58
242612785,-1013399809,740067.69,5687832.4799999995
2699970031,264308026,741241.04,5689604.7299999995
242614968,-22617150#0,739859.25,5687283.949999999
69417099,-532494277,740535.78,5689127.85
287613417,26261083,740875.76,5690177.779999999
289404861,-219386233#0,739954.26,5690236.68
366041178,32548186#0,739265.76,5688912.359999999
952074722,174133369,739964.5900000001,5690223.069999999
282557849,-25903091,741416.5,5690309.96
938291560,3871010,738693.42,5689271.91
282557850,-177914614,741399.47,5690246.21
291583659,-26588321#0,740932.17,5688367.699999999
310819476,173383320#2,739293.31,5689047.41
309167605,-28148357,740479.17,5688593.88
